DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,FLOW_KIND,WELL_TYPE,AVG_DOWNHOLE_PRESSURE_PSI,AVG_DOWNHOLE_TEMPERATURE_F,AVG_DP_TUBING_PSI,AVG_ANNULUS_PRESS_PSI,DP_CHOKE_SIZE_PSI,AVG_WHP_P_PSI,BORE_WI_VOL_STB_D,AVG_WHT_P,BORE_OIL_VOL_STB_D,BORE_GAS_VOL_MSCF_D,BORE_WAT_VOL_STB_D,GOR_MSCF_STB,WCUT
2008-02-12,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,0.85354863,0.0,,32.0,0.0,0.0,0.0,,
2008-02-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,0.9816171840000001,0.0,,32.0,0.0,0.0,0.0,,
2008-02-14,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,0.7179381,0.0,,32.0,0.0,0.0,0.0,,
2008-02-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.000870228,0.96305232,0.0,,32.0,0.0,0.0,0.0,,
2008-02-16,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.000870228,1.519853202,0.0,,32.0,0.0,0.0,0.0,,
2008-02-17,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.000870228,1.968310698,0.0,,32.0,0.0,0.0,0.0,,
2008-02-18,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,3.387942642,0.0,,32.0,0.0,0.0,0.0,,
2008-02-19,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,8.216547738,0.0,,32.0,0.0,0.0,0.0,,
2008-02-20,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.001885494,8.898081300000001,0.0,,32.000036,0.0,0.0,0.0,,
2008-02-21,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,10.730201316,0.0,,32.0,0.0,0.0,0.0,,
2008-02-22,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.003916026,14.414166516,0.0,,32.00027,0.0,0.0,0.0,,
2008-02-23,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,20.234396418,0.0,,32.0,0.0,0.0,0.0,,
2008-02-24,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,27.659326752000002,0.0,,32.0,0.0,0.0,0.0,,
2008-02-25,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,41.822577528000004,0.0,,32.0,0.0,0.0,0.0,,
2008-02-26,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,55.189279608,0.0,,32.0,0.0,0.0,0.0,,
2008-02-27,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.001015266,66.80522798999999,0.0,,32.0,0.0,0.0,0.0,,
2008-02-28,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.004061064,78.995091738,0.0,,32.0,0.0,0.0,0.0,,
2008-02-29,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.000870228,92.30798472,0.0,,32.0,0.0,0.0,0.0,,
2008-03-01,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.010007621999999999,105.51659538,0.0,,32.000036,0.0,0.0,0.0,,
2008-03-02,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.01522899,117.74474916,0.0,,32.000234,0.0,0.0,0.0,,
2008-03-03,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.056274744,129.799002378,0.0,,32.005418,0.0,0.0,0.0,,
2008-03-04,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.090503712,140.989699344,0.0,,32.010872,0.0,0.0,0.0,,
2008-03-05,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.051198414000000005,156.41478072,0.0,,32.0,0.0,0.0,0.0,,
2008-03-06,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,172.756792332,0.0,,32.0,0.0,0.0,0.0,,
2008-03-07,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.000870228,186.731928822,0.0,,32.0,0.0,0.0,0.0,,
2008-03-08,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,201.772369422,0.0,,32.0,0.0,0.0,0.0,,
2008-03-09,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,217.49898480000002,0.0,,32.0,0.0,0.0,0.0,,
2008-03-10,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.001885494,229.94672611200002,0.0,,32.0,0.0,0.0,0.0,,
2008-03-11,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.003045798,236.05239079800003,0.0,,32.0,0.0,0.0,0.0,,
2008-03-12,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.000870228,239.217119958,0.0,,32.0,0.0,0.0,0.0,,
2008-03-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.000870228,259.128806826,0.0,,32.0,0.0,0.0,0.0,,
2008-03-14,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.000870228,368.342710902,0.0,,32.000054,0.0,0.0,0.0,,
2008-03-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,455.68836549,0.0,,32.0,0.0,0.0,0.0,,
2008-03-16,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.003045798,451.92172863,0.0,,32.0,0.0,0.0,0.0,,
2008-03-17,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.030022866,448.997617512,0.0,,32.001818,0.0,0.0,0.0,,
2008-03-18,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.029587752000000002,448.17554212799996,0.0,,32.001494,0.0,0.0,0.0,,
2008-03-19,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.021610662,443.296608846,0.0,,32.00081,0.0,0.0,0.0,,
2008-03-20,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.009717546,439.691689356,0.0,,32.000468,0.0,0.0,0.0,,
2008-03-21,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.01885494,438.43217936400004,0.0,,32.001638,0.0,0.0,0.0,,
2008-03-22,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.046557198,440.842420848,0.0,,32.00414,0.0,0.0,0.0,,
2008-03-23,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.102541866,442.38185418,0.0,,32.011844,0.0,0.0,0.0,,
2008-03-24,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.138801366,442.517319672,0.0,,32.016848,0.0,0.0,0.0,,
2008-03-25,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.108633462,443.54027268600004,0.0,,32.01413,0.0,0.0,0.0,,
2008-03-26,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.034228968,258.991600878,0.0,,32.00387,0.0,0.0,0.0,,
2008-03-27,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.054679326,21.519143021999998,0.0,,32.005742,0.0,0.0,0.0,,
2008-03-28,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.026541954,16.48791984,0.0,,32.001602,0.0,0.0,0.0,,
2008-03-29,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.000580152,377.963661594,0.0,,32.0,0.0,0.0,0.0,,
2008-03-30,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,308.437665762,0.0,,32.0,0.0,0.0,0.0,,
2008-03-31,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,46.408969164,0.0,,32.0,0.0,0.0,0.0,,
2008-04-01,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,441.22401582599997,0.0,,32.0,0.0,0.0,0.0,,
2008-04-02,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,445.3536828,0.0,,32.0,0.0,0.0,0.0,,
2008-04-03,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,445.018935096,0.0,,32.0,0.0,0.0,0.0,,
2008-04-04,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,445.410537696,0.0,,32.0,0.0,0.0,0.0,,
2008-04-05,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,446.950261104,0.0,,32.0,0.0,0.0,0.0,,
2008-04-06,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,458.018691036,0.0,,32.0,0.0,0.0,0.0,,
2008-04-07,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,455.096320374,0.0,,32.0,0.0,0.0,0.0,,
2008-04-08,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,455.325625452,0.0,,32.0,0.0,0.0,0.0,,
2008-04-09,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,450.704424696,0.0,,32.0,0.0,0.0,0.0,,
2008-04-10,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,453.42142155000005,0.0,,32.0,0.0,0.0,0.0,,
2008-04-11,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,%,production,OP,0.0,32.0,0.0,0.0,452.99573502,0.0,,32.0,0.0,0.0,0.0,,
