HEADER INFORMATION (all units in Equinor default) 
----------------------------------------------------------------
COMPANY: Equinor Norway
FIELD: Q0015 SLEIPNER
WELL NAME: 15/9-19
WELLBORE NAME: 15/9-19 SR
Drilled From: 15/9-19 S
Kick Off Depth: 3570.00m
Survey Name: 15/9-19 SR
Survey Date: 10.12.2008
Extraction Date: 11.01.2024
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: Treasure Prospect RT(25.00m)
----------------------------------------------------------------
Surface EW: 437506.858m
Surface NS: 6477887.468m
Surface Latitude: 58° 26' 9.2419 N
Surface Longitude: 1° 55' 47.0592 E
Bottom Hole MD: 4644.00m
Bottom Hole TVD: 3135.33m
Bottom Hole EW: 434539.315m
Bottom Hole NS: 6478399.754m
----------------------------------------------------------------
Survey Program:  
H  123 - 3506 9 5/8" EASTMAN RIGS : RIGS, CONT
H  3533 - 4543 GYRODATA RGSWB : WELLBORE SURVEYOR, STAT
----------------------------------------------------------------
Water Depth: 84.00m
KB-WH: 109.00m
KB-MSL: 25.00m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 279.79deg
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
m RKB     deg       deg       m RKB     m               m               m               m               deg/30m
3052.91   58.33     283.82    2086.13   -1782.330       454.670         435718.138      6478335.090     3.60      
3062.91   57.59     283.87    2091.45   -1790.550       456.630         435709.921      6478337.049     2.22      
3072.91   56.99     283.99    2096.81   -1798.880       458.780         435701.593      6478339.199     1.83      
3082.92   56.14     283.71    2102.34   -1806.970       460.770         435693.506      6478341.188     2.64      
3092.94   55.52     283.49    2107.98   -1815.120       462.720         435685.359      6478343.137     1.93      
3102.91   55.73     283.00    2113.62   -1823.140       464.570         435677.342      6478344.987     1.37      
3112.93   55.86     282.93    2119.25   -1831.470       466.440         435669.015      6478346.856     0.43      
3122.92   55.82     282.46    2124.88   -1839.390       468.230         435661.098      6478348.645     1.17      
3132.94   55.35     281.59    2130.57   -1847.560       469.940         435652.931      6478350.355     2.57      
3142.93   55.24     281.30    2136.29   -1855.500       471.580         435644.993      6478351.994     0.79      
3152.93   55.14     280.90    2142.00   -1863.680       473.150         435636.816      6478353.564     1.03      
3162.92   54.86     280.77    2147.73   -1871.670       474.690         435628.829      6478355.103     0.90      
3172.92   55.03     280.59    2153.48   -1879.710       476.240         435620.792      6478356.653     0.67      
3182.93   54.92     280.59    2159.23   -1887.720       477.710         435612.785      6478358.122     0.33      
3192.94   54.22     280.59    2165.04   -1895.900       479.190         435604.608      6478359.601     2.10      
3202.94   53.85     280.29    2170.92   -1903.840       480.690         435596.670      6478361.101     1.33      
3212.94   53.88     280.65    2176.82   -1911.850       482.040         435588.663      6478362.450     0.88      
3222.94   54.08     280.29    2182.73   -1919.770       483.500         435580.746      6478363.910     1.06      
3232.93   53.56     280.17    2188.61   -1927.700       484.890         435572.819      6478365.299     1.59      
3242.93   53.54     279.89    2194.55   -1935.670       486.230         435564.852      6478366.639     0.68      
3252.92   53.38     279.96    2200.52   -1943.610       487.560         435556.914      6478367.969     0.51      
3262.93   52.81     279.45    2206.53   -1951.380       488.830         435549.147      6478369.238     2.10      
3272.92   52.44     279.59    2212.59   -1959.260       490.180         435541.270      6478370.588     1.16      
3282.94   52.47     279.56    2218.70   -1967.090       491.470         435533.443      6478371.877     0.11      
3292.93   52.80     279.04    2224.76   -1974.860       492.670         435525.675      6478373.077     1.59      
3302.94   52.96     278.49    2230.80   -1982.640       493.880         435517.898      6478374.286     1.40      
3312.93   53.22     278.45    2236.80   -1990.510       494.980         435510.031      6478375.386     0.79      
3322.93   53.04     278.36    2242.81   -1998.290       496.120         435502.254      6478376.526     0.58      
3332.92   52.91     278.35    2248.83   -2006.040       497.340         435494.506      6478377.745     0.39      
3342.92   52.79     278.28    2254.87   -2013.890       498.430         435486.659      6478378.835     0.40      
3352.93   52.71     278.24    2260.93   -2021.740       499.630         435478.812      6478380.034     0.26      
3362.93   52.70     278.32    2266.98   -2029.560       500.880         435470.995      6478381.284     0.19      
3372.92   52.41     278.21    2273.04   -2037.230       502.020         435463.327      6478382.423     0.91      
3382.92   52.43     278.23    2279.14   -2045.050       503.140         435455.510      6478383.543     0.08      
3392.92   52.45     278.36    2285.26   -2052.970       504.460         435447.593      6478384.863     0.31      
3402.92   52.09     278.16    2291.37   -2060.670       505.560         435439.896      6478385.962     1.18      
3412.91   52.00     278.15    2297.53   -2068.650       506.690         435431.918      6478387.092     0.27      
3422.94   51.85     278.29    2303.71   -2076.480       507.850         435424.091      6478388.251     0.56      
3432.93   51.72     278.12    2309.90   -2084.260       509.120         435416.314      6478389.521     0.56      
3442.93   51.55     278.21    2316.11   -2092.110       510.260         435408.467      6478390.661     0.55      
3452.94   51.57     278.12    2322.33   -2099.840       511.390         435400.739      6478391.790     0.22      
3462.92   51.40     278.04    2328.55   -2107.790       512.520         435392.792      6478392.920     0.54      
3472.93   51.46     278.08    2334.79   -2115.540       513.530         435385.045      6478393.929     0.20      
3482.94   51.32     278.02    2341.04   -2123.360       514.730         435377.228      6478395.129     0.44      
3492.91   51.29     278.01    2347.26   -2131.180       515.730         435369.411      6478396.129     0.09      
3502.94   51.16     278.00    2353.55   -2138.850       516.790         435361.743      6478397.188     0.39      
3505.85   51.06     277.98    2355.37   -2141.330       517.060         435359.264      6478397.458     1.04      
3533.00   50.78     278.80    2372.49   -2162.180       520.135         435338.422      6478400.532     0.77      
3563.00   50.37     279.07    2391.54   -2185.072       523.734         435315.537      6478404.130     0.46      
3593.00   51.52     278.01    2410.44   -2208.109       527.192         435292.508      6478407.586     1.41      
3623.00   54.24     278.75    2428.54   -2231.772       530.680         435268.854      6478411.073     2.78      
3653.00   55.90     278.26    2445.72   -2256.097       534.317         435244.538      6478414.709     1.71      
3683.00   54.70     276.02    2462.80   -2280.566       537.385         435220.077      6478417.776     2.20      
3713.00   55.06     273.97    2480.06   -2305.009       539.521         435195.642      6478419.911     1.71      
3743.00   52.78     271.96    2497.73   -2329.219       540.781         435171.442      6478421.170     2.80      
3773.00   51.08     271.20    2516.22   -2352.826       541.434         435147.842      6478421.823     1.80      
3803.00   50.29     270.35    2535.23   -2376.034       541.749         435124.643      6478422.138     1.03      
3833.00   49.61     269.35    2554.54   -2398.997       541.690         435101.687      6478422.079     1.02      
3863.00   49.85     268.73    2573.93   -2421.884       541.306         435078.809      6478421.695     0.53      
3893.00   50.22     269.08    2593.20   -2444.873       540.867         435055.828      6478421.256     0.46      
3923.00   50.16     269.17    2612.40   -2467.916       540.515         435032.793      6478420.904     0.09      
3953.00   50.16     268.75    2631.62   -2490.947       540.097         435009.770      6478420.487     0.32      
3983.00   49.78     269.03    2650.92   -2513.914       539.652         434986.812      6478420.042     0.44      
4013.00   49.05     269.16    2670.44   -2536.694       539.292         434964.039      6478419.682     0.74      
4043.00   48.12     269.18    2690.28   -2559.189       538.966         434941.552      6478419.356     0.93      
4073.00   47.66     269.48    2710.40   -2581.443       538.705         434919.306      6478419.095     0.51      
4103.00   46.99     268.83    2730.73   -2603.497       538.381         434897.260      6478418.771     0.82      
4133.00   45.90     269.14    2751.40   -2625.235       537.995         434875.530      6478418.386     1.11      
4163.00   44.61     268.98    2772.52   -2646.539       537.646         434854.233      6478418.036     1.29      
4193.00   43.35     268.62    2794.11   -2667.366       537.210         434833.413      6478417.601     1.28      
4223.00   42.41     268.20    2816.09   -2687.772       536.644         434813.015      6478417.035     0.98      
4253.00   41.38     268.48    2838.42   -2707.796       536.064         434792.998      6478416.455     1.05      
4283.00   40.41     268.05    2861.10   -2727.427       535.470         434773.373      6478415.861     1.01      
4313.00   39.96     267.67    2884.02   -2746.771       534.747         434754.036      6478415.139     0.51      
4343.00   39.61     267.21    2907.07   -2765.949       533.890         434734.865      6478414.282     0.46      
4373.00   39.69     267.30    2930.17   -2785.070       532.973         434715.751      6478413.366     0.10      
4403.00   39.95     267.03    2953.21   -2804.258       532.023         434696.570      6478412.416     0.31      
4433.00   40.31     266.37    2976.15   -2823.561       530.909         434677.273      6478411.303     0.56      
4463.00   40.58     265.76    2998.98   -2842.976       529.574         434657.865      6478409.967     0.48      
4493.00   40.79     265.52    3021.73   -2862.477       528.087         434638.371      6478408.481     0.26      
4523.00   41.05     265.73    3044.40   -2882.070       526.588         434618.785      6478406.983     0.29      
4543.00   41.30     264.72    3059.45   -2895.191       525.492         434605.669      6478405.887     1.07      
4644.00   41.30     264.72    3135.33   -2961.568       519.357         434539.315      6478399.754     0.00      
