HEADER INFORMATION (all units in Equinor default) 
----------------------------------------------------------------
COMPANY: Equinor Norway
FIELD: Q0015 SLEIPNER
WELL NAME: 15/9-19
WELLBORE NAME: 15/9-19 BT2
Drilled From: 15/9-19 B
Kick Off Depth: 2911.00m
Survey Name: 15/9-19 BT2
Survey Date: 24.01.2005
Extraction Date: 11.01.2024
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: Byford Dolphin RT(25.00m)
----------------------------------------------------------------
Surface EW: 437506.858m
Surface NS: 6477887.468m
Surface Latitude: 58° 26' 9.2419 N
Surface Longitude: 1° 55' 47.0592 E
Bottom Hole MD: 4250.00m
Bottom Hole TVD: 3360.59m
Bottom Hole EW: 436455.845m
Bottom Hole NS: 6477445.355m
----------------------------------------------------------------
Survey Program:  
H  123 - 2183 9 5/8" EASTMAN RIGS : RIGS, CONT
H  2183 - 2232 8 1/2" GYRODATA RGSCT : WELLBORE SURVEYOR, CONT
H  2232 - 2897 8 1/2" BHI MWD : MAGNETIC, STD, MAG-CORR
H  2916 - 3203 8 1/2" BHI MWD : MAGNETIC, STD, MAG-CORR
H  3235 - 4226 6" BHI MWD : MAGNETIC, STD, MAG-CORR
----------------------------------------------------------------
Water Depth: 84.00m
KB-WH: 109.00m
KB-MSL: 25.00m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 247.19deg
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
m RKB     deg       deg       m RKB     m               m               m               m               deg/30m
692.96    10.22     289.30    692.25    -6.330          9.190           437493.512      6477889.767     2.13      
702.95    11.07     289.03    702.05    -8.100          9.790           437491.743      6477890.367     2.56      
712.96    11.80     289.03    711.86    -9.970          10.420          437489.874      6477890.996     2.19      
722.92    12.67     288.57    721.59    -11.960         11.120          437487.884      6477891.696     2.64      
732.95    13.47     287.91    731.37    -14.130         11.820          437485.715      6477892.396     2.43      
743.00    14.53     287.45    741.11    -16.470         12.570          437483.376      6477893.146     3.18      
753.02    15.57     287.42    750.78    -18.980         13.340          437480.867      6477893.915     3.11      
762.99    16.72     287.36    760.37    -21.620         14.180          437478.228      6477894.755     3.46      
772.97    17.75     287.80    769.89    -24.450         15.090          437475.399      6477895.665     3.12      
782.99    18.69     287.97    779.44    -27.450         16.020          437472.400      6477896.594     2.82      
793.01    19.66     287.74    788.87    -30.570         16.990          437469.281      6477897.564     2.91      
802.96    20.57     288.04    798.23    -33.850         18.050          437466.002      6477898.624     2.76      
812.99    21.30     287.97    807.59    -37.210         19.230          437462.643      6477899.803     2.18      
822.99    22.09     287.69    816.88    -40.720         20.350          437459.134      6477900.923     2.39      
832.98    22.85     287.66    826.12    -44.390         21.470          437455.466      6477902.042     2.28      
842.95    23.67     287.39    835.27    -48.190         22.620          437451.667      6477903.192     2.49      
852.98    24.19     287.08    844.45    -52.080         23.840          437447.778      6477904.412     1.60      
862.93    24.59     286.91    853.49    -55.960         25.060          437443.900      6477905.631     1.22      
872.92    25.21     286.81    862.56    -59.960         26.230          437439.901      6477906.801     1.87      
882.95    25.91     286.59    871.60    -64.140         27.480          437435.723      6477908.050     2.11      
892.97    26.50     286.41    880.59    -68.380         28.740          437431.484      6477909.310     1.78      
902.92    27.07     286.03    889.47    -72.670         30.020          437427.196      6477910.589     1.79      
912.95    27.77     285.79    898.38    -77.100         31.320          437422.767      6477911.889     2.12      
923.00    28.41     285.48    907.24    -81.680         32.620          437418.189      6477913.189     1.96      
932.97    29.15     285.27    915.98    -86.330         33.860          437413.540      6477914.428     2.25      
942.95    29.83     285.12    924.67    -91.070         35.170          437408.802      6477915.738     2.06      
952.95    30.36     284.97    933.32    -95.950         36.500          437403.924      6477917.067     1.61      
962.96    30.97     284.56    941.92    -100.930        37.770          437398.946      6477918.337     1.93      
972.93    31.52     284.24    950.44    -105.950        39.070          437393.927      6477919.636     1.73      
982.93    32.23     284.23    958.93    -111.070        40.410          437388.809      6477920.976     2.13      
992.94    32.92     284.17    967.37    -116.320        41.630          437383.561      6477922.195     2.07      
1003.00   34.04     284.01    975.76    -121.710        42.990          437378.173      6477923.555     3.35      
1012.92   34.89     283.95    983.95    -127.170        44.390          437372.715      6477924.954     2.57      
1022.92   35.93     283.90    992.10    -132.780        45.690          437367.107      6477926.254     3.12      
1032.95   36.82     283.81    1000.16   -138.540        47.110          437361.349      6477927.673     2.67      
1042.98   37.50     283.71    1008.17   -144.420        48.640          437355.471      6477929.203     2.04      
1052.98   38.22     283.78    1016.06   -150.390        50.060          437349.503      6477930.622     2.16      
1062.93   39.31     283.74    1023.83   -156.470        51.560          437343.425      6477932.122     3.29      
1072.93   40.35     283.72    1031.50   -162.700        53.120          437337.197      6477933.681     3.12      
1082.95   41.42     283.68    1039.07   -169.070        54.660          437330.830      6477935.221     3.20      
1092.99   42.56     283.68    1046.53   -175.660        56.180          437324.242      6477936.740     3.41      
1102.98   43.31     283.68    1053.85   -182.250        57.850          437317.654      6477938.410     2.25      
1112.92   44.10     283.66    1061.04   -188.900        59.370          437311.007      6477939.929     2.38      
1122.98   45.14     283.68    1068.20   -195.850        60.950          437304.059      6477941.509     3.10      
1132.92   46.24     283.63    1075.14   -202.730        62.600          437297.181      6477943.158     3.32      
1142.93   47.30     283.28    1081.99   -209.850        64.360          437290.064      6477944.917     3.27      
1152.94   48.34     283.07    1088.72   -217.040        66.080          437282.876      6477946.637     3.15      
1162.94   49.45     282.71    1095.30   -224.340        67.910          437275.579      6477948.466     3.43      
1172.96   50.48     282.51    1101.74   -231.820        69.440          437268.102      6477949.996     3.12      
1182.95   51.54     282.35    1108.02   -239.390        71.140          437260.534      6477951.695     3.21      
1192.97   52.49     282.23    1114.19   -247.100        72.840          437252.827      6477953.394     2.86      
1202.92   53.47     282.21    1120.19   -254.860        74.490          437245.070      6477955.044     2.96      
1212.95   54.43     282.13    1126.10   -262.810        76.190          437237.123      6477956.743     2.88      
1222.96   55.44     282.04    1131.84   -270.800        77.690          437229.135      6477958.243     3.04      
1232.96   56.26     281.97    1137.47   -278.910        79.550          437221.028      6477960.102     2.47      
1242.94   57.07     281.89    1142.96   -287.040        81.180          437212.901      6477961.731     2.44      
1252.95   57.44     281.86    1148.36   -295.230        82.900          437204.714      6477963.451     1.11      
1262.92   57.71     281.94    1153.71   -303.500        84.580          437196.447      6477965.130     0.84      
1272.93   58.10     282.02    1159.02   -311.800        86.400          437188.150      6477966.950     1.19      
1282.92   58.55     282.12    1164.28   -320.100        88.180          437179.853      6477968.729     1.38      
1292.93   58.89     282.21    1169.47   -328.450        89.980          437171.506      6477970.528     1.04      
1302.94   59.08     282.25    1174.63   -336.770        91.790          437163.189      6477972.338     0.58      
1312.93   59.24     282.36    1179.74   -345.150        93.720          437154.812      6477974.267     0.56      
1322.91   58.95     282.42    1184.89   -353.500        95.490          437146.464      6477976.036     0.89      
1332.92   58.46     282.41    1190.09   -361.880        97.300          437138.087      6477977.846     1.47      
1342.91   58.05     282.30    1195.34   -370.140        99.060          437129.830      6477979.605     1.26      
1352.96   57.74     282.38    1200.68   -378.460        100.880         437121.513      6477981.425     0.95      
1362.95   57.37     282.50    1206.04   -386.670        102.750         437113.306      6477983.294     1.15      
1372.94   56.77     282.55    1211.48   -394.840        104.600         437105.139      6477985.143     1.81      
1382.94   56.41     282.66    1216.98   -403.010        106.280         437096.972      6477986.823     1.11      
1392.93   55.92     282.79    1222.54   -411.110        108.120         437088.875      6477988.662     1.51      
1402.91   55.83     282.90    1228.13   -419.210        110.100         437080.778      6477990.641     0.38      
1412.91   56.29     282.99    1233.74   -427.210        111.800         437072.780      6477992.341     1.40      
1422.94   57.06     282.99    1239.26   -435.440        113.840         437064.553      6477994.380     2.30      
1432.95   57.71     283.05    1244.64   -443.590        115.800         437056.406      6477996.339     1.95      
1442.92   57.80     283.03    1249.96   -451.730        117.680         437048.269      6477998.219     0.28      
1452.96   58.17     283.07    1255.27   -460.040        119.550         437039.962      6478000.088     1.11      
1462.95   58.84     283.07    1260.50   -468.380        121.350         437031.625      6478001.887     2.01      
1472.96   59.11     283.03    1265.65   -476.750        123.390         437023.258      6478003.927     0.82      
1482.92   58.79     283.17    1270.76   -485.000        125.400         437015.011      6478005.936     1.03      
1492.92   58.10     283.47    1276.03   -493.300        127.290         437006.714      6478007.825     2.21      
1498.00   58.24     283.82    1278.71   -497.500        128.310         437002.515      6478008.845     1.94      
1502.93   58.37     284.16    1281.30   -501.560        129.280         436998.457      6478009.815     1.93      
1512.96   57.92     285.43    1286.58   -509.840        131.410         436990.180      6478011.944     3.50      
1522.92   58.21     286.17    1291.85   -517.900        133.820         436982.122      6478014.353     2.08      
1532.93   58.54     286.91    1297.10   -526.100        136.260         436973.925      6478016.792     2.13      
1542.95   58.94     287.86    1302.30   -534.220        138.780         436965.808      6478019.311     2.71      
1552.94   59.25     289.02    1307.43   -542.410        141.530         436957.621      6478022.060     3.13      
1562.95   59.51     290.37    1312.52   -550.520        144.370         436949.514      6478024.899     3.57      
1572.95   59.89     291.64    1317.57   -558.560        147.440         436941.477      6478027.968     3.48      
1582.92   60.35     292.71    1322.54   -566.550        150.710         436933.490      6478031.237     3.12      
1592.91   60.53     293.59    1327.46   -574.110        153.980         436925.932      6478034.506     2.36      
1602.92   60.60     293.59    1332.37   -582.550        157.670         436917.495      6478038.195     0.21      
1612.92   61.11     296.18    1337.20   -590.330        161.690         436909.718      6478042.213     6.96      
1622.93   61.24     296.73    1342.01   -598.150        165.590         436901.901      6478046.112     1.50      
1632.92   61.29     296.86    1346.81   -605.890        169.600         436894.163      6478050.120     0.37      
1642.94   61.37     296.55    1351.61   -613.810        173.540         436886.246      6478054.059     0.85      
1652.92   61.00     295.82    1356.43   -621.620        177.360         436878.439      6478057.878     2.22      
1662.93   60.08     294.56    1361.35   -629.520        181.100         436870.542      6478061.616     4.29      
1672.92   59.62     293.70    1366.36   -637.400        184.650         436862.664      6478065.165     2.63      
1682.92   59.45     292.95    1371.42   -645.270        188.070         436854.797      6478068.584     2.01      
1692.93   59.31     292.46    1376.52   -653.160        191.340         436846.910      6478071.853     1.33      
1702.94   59.66     291.72    1381.62   -661.110        194.610         436838.963      6478075.122     2.18      
1712.92   59.80     290.88    1386.64   -669.100        197.760         436830.976      6478078.270     2.22      
1722.94   59.87     290.17    1391.68   -677.100        200.820         436822.978      6478081.329     1.85      
1732.94   59.76     289.48    1396.71   -685.360        203.860         436814.721      6478084.368     1.82      
1742.94   59.47     288.59    1401.77   -693.440        206.770         436806.644      6478087.277     2.46      
1752.91   59.40     288.09    1406.84   -701.620        209.620         436798.467      6478090.126     1.31      
1762.94   59.17     287.16    1411.94   -709.920        212.240         436790.170      6478092.745     2.49      
1772.95   58.98     286.50    1417.08   -718.190        214.660         436781.903      6478095.165     1.79      
1782.94   59.09     285.91    1422.22   -726.400        217.070         436773.696      6478097.574     1.55      
1792.93   59.20     285.06    1427.35   -734.710        219.400         436765.389      6478099.903     2.22      
1802.94   58.91     284.24    1432.50   -743.050        221.660         436757.052      6478102.162     2.28      
1812.94   59.00     283.73    1437.66   -751.400        223.760         436748.705      6478104.261     1.34      
1822.94   58.85     282.97    1442.81   -759.840        225.570         436740.268      6478106.071     2.00      
1832.93   58.73     282.37    1447.98   -767.910        227.400         436732.200      6478107.900     1.58      
1842.96   58.67     282.14    1453.20   -776.580        229.280         436723.533      6478109.779     0.61      
1852.93   58.72     281.99    1458.37   -784.940        231.110         436715.176      6478111.609     0.41      
1862.93   58.70     281.93    1463.57   -793.230        232.850         436706.889      6478113.348     0.17      
1872.92   58.68     282.03    1468.75   -801.660        234.570         436698.462      6478115.068     0.26      
1882.95   58.74     281.88    1473.97   -809.960        236.370         436690.165      6478116.867     0.42      
1892.95   58.64     281.83    1479.17   -818.370        238.150         436681.758      6478118.646     0.33      
1902.91   58.54     281.81    1484.35   -826.800        239.850         436673.331      6478120.346     0.31      
1912.95   58.68     281.78    1489.59   -835.110        241.620         436665.024      6478122.115     0.43      
1922.93   58.88     281.68    1494.73   -843.560        243.350         436656.577      6478123.844     0.65      
1932.91   58.84     281.59    1499.92   -851.880        245.060         436648.260      6478125.554     0.26      
1942.92   58.75     281.62    1505.12   -860.380        246.750         436639.763      6478127.243     0.28      
1952.95   58.64     281.56    1510.32   -868.730        248.410         436631.416      6478128.903     0.36      
1962.95   58.67     281.38    1515.52   -876.970        250.150         436623.179      6478130.642     0.47      
1972.94   58.63     281.37    1520.73   -885.450        251.740         436614.702      6478132.231     0.12      
1982.93   58.82     281.48    1525.93   -893.810        253.380         436606.345      6478133.871     0.64      
1992.93   58.75     281.34    1531.13   -902.260        255.170         436597.898      6478135.660     0.42      
2002.94   58.75     281.38    1536.32   -910.530        256.870         436589.631      6478137.360     0.10      
2012.91   58.81     282.42    1541.50   -919.020        258.660         436581.144      6478139.149     2.68      
2022.94   58.81     282.60    1546.69   -926.880        260.400         436573.286      6478140.888     0.46      
2032.95   58.84     282.63    1551.88   -935.360        262.210         436564.809      6478142.698     0.12      
2042.93   58.78     282.54    1557.06   -943.930        263.980         436556.242      6478144.467     0.29      
2052.93   58.73     282.50    1562.24   -952.270        265.950         436547.905      6478146.436     0.18      
2062.92   58.74     282.41    1567.42   -960.610        267.730         436539.568      6478148.216     0.23      
2072.91   58.86     282.42    1572.60   -968.860        269.540         436531.321      6478150.025     0.36      
2082.93   58.78     282.32    1577.78   -977.220        271.410         436522.964      6478151.895     0.35      
2092.95   58.78     282.26    1582.98   -985.560        273.250         436514.627      6478153.734     0.15      
2102.94   58.78     282.21    1588.16   -993.890        274.990         436506.300      6478155.473     0.13      
2112.93   58.79     282.19    1593.33   -1002.190       276.820         436498.003      6478157.303     0.06      
2122.92   58.92     282.20    1598.50   -1010.640       278.620         436489.556      6478159.102     0.39      
2132.93   58.90     282.02    1603.67   -1018.930       280.510         436481.269      6478160.991     0.47      
2142.94   58.94     282.03    1608.85   -1027.180       282.250         436473.022      6478162.731     0.12      
2152.94   58.88     281.97    1614.02   -1035.700       284.060         436464.505      6478164.540     0.24      
2162.92   58.92     281.92    1619.17   -1043.950       285.820         436456.258      6478166.299     0.18      
2172.94   58.91     281.90    1624.33   -1052.280       287.590         436447.931      6478168.069     0.06      
2182.95   58.99     281.85    1629.49   -1060.660       289.410         436439.554      6478169.888     0.27      
2192.00   58.05     283.94    1634.22   -1068.183       291.132         436432.033      6478171.609     6.68      
2202.00   57.30     283.83    1639.56   -1076.386       293.160         436423.833      6478173.636     2.27      
2212.00   56.50     284.11    1645.02   -1084.515       295.182         436415.706      6478175.658     2.50      
2222.00   55.68     284.21    1650.60   -1092.562       297.212         436407.662      6478177.687     2.47      
2232.00   54.57     284.14    1656.32   -1100.516       299.221         436399.711      6478179.696     3.33      
2309.00   53.00     283.40    1701.81   -1160.851       314.011         436339.397      6478194.481     0.65      
2320.00   52.00     282.10    1708.51   -1169.363       315.938         436330.889      6478196.407     3.92      
2348.00   49.80     279.90    1726.17   -1190.688       320.090         436309.572      6478200.557     2.98      
2378.00   45.20     273.80    1746.44   -1212.617       322.768         436287.650      6478203.234     6.43      
2406.00   40.90     271.70    1766.90   -1231.702       323.698         436268.572      6478204.165     4.86      
2435.00   38.50     267.50    1789.21   -1250.215       323.586         436250.065      6478204.052     3.72      
2464.00   35.70     263.90    1812.34   -1267.652       322.293         436232.634      6478202.760     3.66      
2493.00   32.60     258.40    1836.35   -1283.726       319.822         436216.566      6478200.289     4.52      
2521.00   30.40     252.10    1860.23   -1297.862       316.126         436202.435      6478196.595     4.24      
2551.00   28.70     243.80    1886.33   -1311.555       310.610         436188.747      6478191.081     4.43      
2579.00   26.20     236.30    1911.19   -1322.735       304.209         436177.571      6478184.682     4.57      
2608.00   23.40     230.30    1937.51   -1332.495       296.976         436167.814      6478177.452     3.89      
2637.00   22.00     222.30    1964.27   -1340.584       289.278         436159.728      6478169.756     3.50      
2666.00   21.80     213.00    1991.19   -1347.174       280.742         436153.140      6478161.223     3.59      
2694.00   21.20     202.00    2017.25   -1351.905       271.684         436148.412      6478152.168     4.36      
2724.00   21.70     192.30    2045.18   -1355.119       261.232         436145.198      6478141.720     3.58      
2753.00   23.30     183.50    2071.98   -1356.612       250.265         436143.706      6478130.757     3.85      
2782.00   25.90     177.20    2098.35   -1356.653       238.210         436143.665      6478118.706     3.82      
2810.00   28.80     167.50    2123.23   -1354.893       225.509         436145.424      6478106.009     5.69      
2838.00   29.70     165.00    2147.66   -1351.638       212.223         436148.678      6478092.728     1.63      
2868.00   32.30     160.40    2173.38   -1347.024       197.489         436153.290      6478077.999     3.52      
2897.00   33.60     157.40    2197.71   -1341.340       182.780         436158.972      6478063.296     2.16      
2916.00   34.40     157.00    2213.47   -1337.223       172.986         436163.088      6478053.505     1.31      
2945.00   34.40     151.40    2237.40   -1330.099       158.249         436170.210      6478038.773     3.27      
2975.00   34.30     151.30    2262.17   -1321.983       143.394         436178.323      6478023.923     0.11      
3000.00   34.10     147.80    2282.85   -1314.865       131.284         436185.438      6478011.818     2.37      
3029.00   34.40     148.00    2306.82   -1306.192       117.458         436194.108      6477997.996     0.33      
3061.00   33.80     149.10    2333.32   -1296.831       102.154         436203.466      6477982.698     0.81      
3090.00   31.50     158.20    2357.75   -1289.870       88.188          436210.425      6477968.737     5.60      
3119.00   31.40     161.30    2382.49   -1284.634       73.997          436215.659      6477954.551     1.68      
3148.00   31.60     160.10    2407.22   -1279.625       59.697          436220.665      6477940.256     0.68      
